location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
59355a7c28b6de24:1,src/lib/protocols/tls.c,528,48,-1,49,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
35baec4531887608:1,src/lib/protocols/tls.c,531,2,-1,3,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
ec9e7435a0c22a76:1,src/lib/protocols/tls.c,533,4,-1,5,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
d7540969f3797d32:1,src/lib/protocols/tls.c,535,6,-1,7,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
7c4b147d9afe8f0:1,src/lib/protocols/tls.c,536,6,-1,7,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
518daf143b5f5d85:1,src/lib/protocols/tls.c,552,7,-1,8,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
fae5ef5bc0e09c07:1,src/lib/protocols/tls.c,646,7,-1,8,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
439438cc9eaf2fab:1,src/lib/third_party/src/roaring.cc,15837,15,-1,16,cpp/loop-variable-changed,For loop variable changed in body,Loop counters should not be modified in the body of the [loop](1).,,LOW
7b69ec1644a9b477:1,example/reader_util.c,1717,3,1849,4,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [127 (35 lines)](1).,,LOW
157b3a1e0d953299:1,src/lib/ndpi_utils.c,1215,3,1441,4,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [NDPI_PROTOCOL_DTLS (63 lines)](1).,,LOW
2dc6b16e8afb06c8:1,src/lib/protocols/netflow.c,115,5,166,6,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [9 (31 lines)](1).,,LOW
36b60ea64536ae68:1,src/lib/protocols/raknet.c,66,3,331,4,cpp/long-switch,Long switch case,Switch has at least one case that is too long: [141 (51 lines)](1).,,LOW
