location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
0325d57538a62cbc5f53b28e3920e31305ee70fcc47f9cc7071edd7973e087c7,src/lib/jp2/t2/T2Decompress.cpp,326,8,-1,26,True,False,False,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
426d3d873bdde0a0acb851ad1f257c83e445cf06f5122f0089d30cd5ed410b48,src/lib/jp2/t2/T2Decompress.cpp,374,12,-1,31,True,False,False,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
895380ee799c9bb5b12541d120b3a659f9dac88749069ac43ded1d3fd5afc6f0,src/lib/jp2/t2/T2Decompress.cpp,468,12,-1,55,True,False,False,FF1029,buffer/read,"buffer/read:Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).","CWE-120,CWE-20",LOW
